=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.05.01 15:32:45 =~=~=~=~=~=~=~=~=~=~=~=
 0.0625, 45890, -17.1875, 68.7500, 315.1875 
00,   3.4000, -67.7500, -15.8750,  22.2500,   0.0625,   0.0625,   0.1250, 151252, -17.1875, 68.8750, 315.1875 
 -8.6100,  -2.9700,   3.4000, -67.7b -15.8750,  22.2500,   0.0625,   0.0625,   0.1250, 151252, -17.1875, 68.8750, 315.1875 
 -8.6100,  -2.9700,   3.4000, -67.7bCalibration Levels - System: 0, Gyro: 0, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 0, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 0, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 0, Accel: 0, Mag: 1
Calibration Levels - System: 0, Gyro: 0, Accel: 0, Mag: 1
Calibration Levels - System: 0, Gyro: 0, Accel: 0, Mag: 1
Calibration Levels - System: 0, Gyro: 0, Accel: 0, Mag: 1
Calibration Levels - System: 0, Gyro: 0, Accel: 0, Mag: 2
Calibration Levels - System: 0, Gyro: 0, Accel: 0, Mag: 2
Calibration Levels - System: 3, Gyro: 0, Accel: 0, Mag: 2
Calibration Levels - System: 3, Gyro: 0, Accel: 0, Mag: 2
Calibration Levels - System: 1, Gyro: 0, Accel: 0, Mag: 2
Calibration Levels - System: 1, Gyro: 0, Accel: 0, Mag: 2
Calibration Levels - System: 2, Gyro: 0, Accel: 0, Mag: 2
Calibration Levels - System: 3, Gyro: 0, Accel: 1, Mag: 2
Calibration Levels - System: 3, Gyro: 0, Accel: 1, Mag: 2
Calibration Levels - System: 3, Gyro: 0, Accel: 1, Mag: 2
Calibration Levels - System: 3, Gyro: 0, Accel: 1, Mag: 2
Calibration Levels - System: 3, Gyro: 0, Accel: 1, Mag: 2
Calibration Levels - System: 3, Gyro: 0, Accel: 1, Mag: 2
Calibration Levels - System: 3, Gyro: 0, Accel: 1, Mag: 2
Calibration Levels - System: 3, Gyro: 0, Accel: 1, Mag: 2
Calibration Levels - System: 3, Gyro: 3, Accel: 1, Mag: 2
READING-----------------
 -0.1200,  -0.0100,   9.9300, -31.8750,   4.0000,  50.2500,   4.0000,   1.8750,  -0.5000, 13492, -0.2500, -0.1250, 6.9375 
 -0.1700,  -0.0200,   9.7500, -32.6875,   4.2500,  49.1875,  -1.6875,   0.1250,   0.2500, 13509, -0.2500, -0.1250, 6.9375 
 -0.1700,  -0.0600,   9.6500, -32.6875,   4.2500,  49.1875,  -0.0000,  -1.2500,  -0.5000, 13529, -0.2500, -0.1250, 6.9375 
 -0.1500,  -0.0800,   9.7100, -32.6875,   4.2500,  49.1875,   0.7500,  -2.3750,  -0.2500, 13546, -0.2500, -0.1250, 6.9375 
 -0.0900,   0.0000,   9.7300, -32.2500,   4.2500,  50.2500,   3.0625,  -2.0000,  -0.2500, 13563, -0.2500, -0.1875, 6.9375 
 -0.1000,   0.0200,   9.7200, -32.2500,   4.2500,  50.2500,   1.8125,  -1.1250,   0.3125, 13583, -0.1250, -0.1875, 6.9375 
 -0.0800,   0.0000,   9.7700, -32.2500,   4.2500,  50.2500,   0.0625,  -0.5625,   1.0625, 13600, -0.1250, -0.1875, 6.9375 
 -0.0600,  -0.1200,   9.7600, -32.6875,   4.6875,  50.2500,   7.8125,   0.3750,   0.9375, 13619, 0.0000, -0.1875, 7.0000 
 -0.0500,   0.0500,   9.7200, -32.6875,   4.6875,  50.2500,   7.6250,  -0.8125,   0.6875, 13637, 0.0625, -0.1875, 7.0000 
 -0.1100,   0.0300,   9.8800, -32.6875,   4.6875,  49.8750,   7.3125,  -1.9375,  -0.5625, 13655, 0.2500, -0.1875, 7.0000 
 -0.0800,   0.0300,   9.9600, -32.6875,   4.6875,  49.8750,   9.0625,  -0.7500,  -0.6250, 13673, 0.3125, -0.1875, 7.0000 
 -0.0400,   0.0200,   9.9000, -32.6875,   4.6875,  49.8750,   4.3125,  -2.2500,  -0.7500, 13692, 0.4375, -0.2500, 7.0000 
 -0.0300,   0.1100,   9.7500, -33.0625,   5.0625,  49.5000,   2.1875,  -1.8750,  -0.3125, 13710, 0.5000, -0.2500, 7.0000 
 -0.0100,   0.0700,   9.8200, -33.0625,   5.0625,  49.5000,  -0.3125,  -1.0625,  -0.3750, 13729, 0.5625, -0.3125, 7.0000 
 -0.0200,  -0.0100,   9.8400, -33.0625,   5.0625,  49.5000,  -4.0000,  -0.9375,  -0.6875, 13747, 0.5000, -0.3125, 6.9375 
  0.0100,   0.0100,   9.8800, -32.6875,   4.6875,  49.5000,  -5.1875,  -1.0625,  -1.1875, 13764, 0.4375, -0.3125, 6.9375 
  0.0300,   0.0100,   9.8200, -32.6875,   4.6875,  49.5000,  -3.5625,   0.8125,  -0.6875, 13783, 0.3125, -0.3125, 6.9375 
 -0.0000,   0.0000,   9.8300, -32.6875,   4.6875,  49.5000,  -2.7500,   1.3750,  -0.1250, 13800, 0.2500, -0.3125, 6.9375 
 -0.0600,   0.0200,   9.7700, -32.6875,   5.5000,  48.6875,  -3.0625,   2.1250,  -0.0625, 13817, 0.1875, -0.2500, 6.9375 
 -0.1000,   0.0200,   9.7300, -32.6875,   5.5000,  48.6875,   1.8125,   1.1875,  -2.1250, 13835, 0.1875, -0.2500, 6.8750 
 -0.1100,  -0.0400,   9.8400, -32.6875,   5.5000,  48.6875,  -2.3125,   0.4375,  -1.0000, 13852, 0.1875, -0.2500, 6.8750 
 -0.1400,  -0.0300,   9.7900, -32.6875,   5.7500,  50.6875,  -4.0625,   0.6875,  -0.8750, 13872, 0.1250, -0.1875, 6.8750 
 -0.2000,  -0.0100,   9.7500, -32.6875,   5.7500,  50.6875,  -4.6250,   0.4375,  -0.9375, 13892, 0.0625, -0.1875, 6.8125 
 -0.1800,  -0.0500,   9.7300, -31.8750,   5.5000,  49.8750,  -3.6875,   0.1875,  -1.0000, 13910, 0.0000, -0.1875, 6.8125 
