=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.05.01 17:44:12 =~=~=~=~=~=~=~=~=~=~=~=
Calibration Levels - System: 0, Gyro: 0, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 0, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 0, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 0, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 0, Accel: 0, Mag: 1
Calibration Levels - System: 0, Gyro: 0, Accel: 0, Mag: 1
Calibration Levels - System: 0, Gyro: 0, Accel: 0, Mag: 1
Calibration Levels - System: 0, Gyro: 0, Accel: 0, Mag: 1
Calibration Levels - System: 0, Gyro: 0, Accel: 0, Mag: 1
Calibration Levels - System: 0, Gyro: 0, Accel: 0, Mag: 1
Calibration Levels - System: 0, Gyro: 0, Accel: 0, Mag: 1
Calibration Levels - System: 0, Gyro: 0, Accel: 0, Mag: 2
Calibration Levels - System: 0, Gyro: 0, Accel: 0, Mag: 2
Calibration Levels - System: 0, Gyro: 0, Accel: 0, Mag: 2
Calibration Levels - System: 0, Gyro: 0, Accel: 0, Mag: 2
Calibration Levels - System: 0, Gyro: 0, Accel: 0, Mag: 2
Calibration Levels - System: 0, Gyro: 0, Accel: 0, Mag: 2
Calibration Levels - System: 3, Gyro: 0, Accel: 0, Mag: 2
Calibration Levels - System: 2, Gyro: 0, Accel: 1, Mag: 2
Calibration Levels - System: 1, Gyro: 0, Accel: 1, Mag: 2
Calibration Levels - System: 2, Gyro: 0, Accel: 1, Mag: 2
Calibration Levels - System: 2, Gyro: 0, Accel: 1, Mag: 2
Calibration Levels - System: 2, Gyro: 0, Accel: 1, Mag: 2
Calibration Levels - System: 3, Gyro: 0, Accel: 1, Mag: 3
READING-----------------
 -0.8000,  -0.6200,   9.1500, -23.8750,  18.1875,  57.5000,  -2.0000,  -9.8750,  -3.3750, 13874, -1.5000, 2.0625, 23.2500 
 -0.2100,  -0.2000,   9.5500, -23.8750,  18.1875,  57.5000,  15.7500, -30.0625, -10.8125, 13891, -1.3125, 1.6250, 23.1250 
 -0.0900,  -0.2400,   9.3900, -23.8750,  18.1875,  57.5000,   6.6875,  -8.3125,  -0.5625, 13910, -1.1875, 1.3750, 23.0000 
 -0.0000,  -0.2800,   9.2000, -22.3750,  19.2500,  57.5000,   6.9375,  -1.6250,   1.5000, 13927, -1.0625, 1.3125, 24.8125 
 -0.0900,  -0.3300,   9.6500, -22.3750,  19.2500,  57.5000,  -4.3125,  -6.0625,   8.8125, 13947, -0.9375, 1.2500, 24.9375 
 -0.1500,  -0.3400,   9.6100, -22.3750,  19.2500,  57.5000,  -1.5625,  -5.6250,   7.8750, 13965, -1.0000, 1.1250, 25.1250 
 -0.1700,  -0.3600,   9.7100, -23.8750,  19.2500,  56.5625,   0.4375,  -4.0000,   7.6250, 13982, -1.0000, 1.0625, 26.6875 
 -0.2300,  -0.3600,   9.3300, -23.8750,  19.2500,  56.5625, -10.8750,  -2.3750,   6.9375, 14001, -1.0625, 1.0000, 26.7500 
 -0.2100,  -0.4100,   9.3500, -23.8750,  19.2500,  56.5625, -12.5000,  -3.3125,   5.1875, 14017, -1.3125, 1.0000, 26.8750 
 -0.2200,  -0.4000,   9.2800, -22.3750,  19.6875,  57.7500, -10.3750,  -3.1875,   6.3750, 14038, -1.5625, 0.8750, 28.4375 
 -0.2600,  -0.5600,   9.7100, -22.3750,  19.6875,  57.7500, -17.1875,  -5.7500,   7.8125, 14058, -1.7500, 0.8125, 28.5625 
 -0.2700,  -0.5800,   9.4400, -22.0625,  19.0000,  56.5625, -25.5000,  -8.4375,   7.8750, 14075, -2.1875, 0.6875, 30.0000 
 -0.2900,  -0.6200,   9.3300, -22.0625,  19.0000,  56.5625, -17.8125, -14.1875,   4.6250, 14095, -2.5625, 0.4375, 30.1250 
 -0.1600,  -0.5300,   9.3400, -22.0625,  19.0000,  56.5625,  -5.5625, -15.7500,   1.6250, 14112, -2.7500, 0.1250, 30.1250 
 -0.0400,  -0.5600,   9.4100, -21.3750,  18.5625,  58.5625,  -2.0000,  -9.6250,   1.1250, 14130, -2.7500, 0.0000, 31.3750 
 -0.0300,  -0.5000,   9.3500, -21.3750,  18.5625,  58.5625,  -2.6875,  -3.6875,  -0.6875, 14149, -2.8125, -0.0625, 31.3750 
 -0.0700,  -0.4900,   9.2100, -21.3750,  18.5625,  58.5625,   4.1875,   1.6250,  -1.0000, 14167, -2.8125, -0.0625, 31.3750 
  0.2500,  -0.6400,  10.0900, -21.3750,  18.2500,  57.7500,  14.0625,   0.6875,   7.8750, 14184, -2.5625, 0.0000, 32.5625 
 -0.1400,  -0.5800,   9.5300, -21.3750,  18.2500,  57.7500, -13.3750,   5.0625, -14.5000, 14201, -2.6875, 0.1250, 32.3750 
 -0.1900,  -0.5300,   9.2100, -21.3750,  18.2500,  57.7500,  -0.5000,   1.8125,  -3.1250, 14219, -2.7500, 0.1250, 32.3125 
 -0.2300,  -0.3900,   9.1700, -21.3750,  18.2500,  57.5000,  12.3750,   3.0000,  -2.6250, 14239, -2.6875, 0.1875, 33.2500 
 -0.2500,  -0.5100,   9.4900, -21.3750,  18.2500,  57.5000,   6.1250,   3.8750,  -3.5000, 14260, -2.5000, 0.2500, 33.1875 
 -0.3000,  -0.5000,   9.5100, -21.3750,  17.8750,  57.5000,   8.3125,   4.7500,  -2.8750, 14277, -2.3125, 0.3125, 34.0000 
 -0.2000,  -0.4700,   9.3500, -21.3750,  17.8750,  57.5000,   8.9375,  -1.8750,  -2.7500, 14296, -2.1250, 0.3125, 33.9375 
 -0.1600,  -0.4800,   9.3600, -21.3750,  17.8750,  57.5000,   6.6875,  -8.7500,  -2.1250, 14313, -2.0000, 0.1875, 33.9375 
 -0.1500,  -0.4300,   9.2100, -21.3750,  17.8750,  57.0625,   8.3125, -12.0625,  -0.7500, 14330, -1.9375, 0.1250, 34.6875 
 -0.1800,  -0.4600,   9.3600, -21.3750,  17.8750,  57.0625,   5.8750, -10.5000,  -0.4375, 14350, -1.8125, -0.0625, 34.6875 
 -0.0700,  -1.0100,   9.7900, -21.3750,  17.8750,  57.0625,   4.3125, -13.1250,   0.1875, 14367, -1.7500, -0.2500, 34.6875 
  0.0100,  -0.4100,   9.5900, -22.0625,  19.0000,  56.6875,   5.6875, -14.0000,   6.6875, 14388, -1.7500, -0.6250, 35.5625 
  0.0800,  -0.3800,   9.7400, -22.0625,  19.0000,  56.6875,   5.1250,  -5.5000,   7.6875, 14407, -1.5625, -0.7500, 35.6875 
  0.0900,  -0.4200,   9.6800, -20.5625,  19.0000,  58.1875,   1.1250,  -1.6875,   5.6250, 14425, -1.5625, -0.8125, 36.5625 
  0.0900,  -0.5500,   9.9200, -20.5625,  19.0000,  58.1875,   4.1875,  -0.4375,   2.3750, 14442, -1.5625, -0.8125, 36.6250 
  0.0900,  -0.5500,   9.8500, -20.5625,  19.0000,  58.1875,   0.9375,  -0.4375,   2.0000, 14461, -1.5000, -0.8125, 36.6250 
  0.1000,  -0.4500,   9.9200, -20.1875,  18.5625,  58.1875,   6.3125,   0.0000,   2.5625, 14479, -1.4375, -0.8125, 37.2500 
  0.0200,  -0.3900,   9.8300, -20.1875,  18.5625,  58.1875,   5.3750,  -0.1875,   2.5625, 14499, -1.3125, -0.8125, 37.3125 
  0.0200,  -0.3600,   9.8900, -20.1875,  18.5625,  58.1875,   2.8750,   0.0625,   1.8750, 14517, -1.2500, -0.8125, 37.3750 
 -0.0000,  -0.3500,   9.7600, -20.5625,  19.0000,  58.5625,  -1.8750,   3.1250,   1.0000, 14534, -1.3125, -0.7500, 37.8750 
 -0.0600,  -0.3900,   9.6500, -20.5625,  19.0000,  58.5625,  -5.6875,   5.3750,   1.3125, 14553, -1.3750, -0.6875, 37.9375 
 -0.1100,  -0.4500,   9.9600, -20.5625,  19.0000,  58.5625,   0.4375,   6.9375,   1.7500, 14570, -1.4375, -0.5625, 37.9375 
 -0.0900,  -0.4700,  10.0200, -19.8750,  19.0000,  58.5625,   2.2500,   9.4375,   2.5000, 14587, -1.3750, -0.3750, 38.5000 
 -0.1000,  -0.4600,   9.7900, -19.8750,  19.0000,  58.5625,   1.0625,   8.0625,   1.8750, 14607, -1.3750, -0.1875, 38.5625 
 -0.1000,  -0.4200,   9.6700, -20.5625,  18.8750,  58.5625,   5.0625,   7.7500,   1.9375, 14624, -1.3125, 0.0000, 39.0000 
 -0.1300,  -0.4000,   9.9300, -20.5625,  18.8750,  58.5625,   2.5000,   5.8750,   1.6875, 14643, -1.2500, 0.0000, 39.0625 
 -0.1600,  -0.3800,   9.8200, -20.5625,  18.8750,  58.5625,  -5.6875,   2.5625,   0.0000, 14662, -1.2500, 0.0625, 39.0625 
 -0.1800,  -0.3400,   9.6400, -21.0000,  18.8750,  57.0625,  -6.4375,   0.8750,  -0.6875, 14680, -1.3750, 0.1250, 39.4375 
 -0.1700,  -0.3700,   9.7100, -21.0000,  18.8750,  57.0625,  -2.6250,   0.3750,  -0.4375, 14699, -1.5000, 0.1250, 39.4375 
 -0.1400,  -0.3900,   9.6100, -21.0000,  18.8750,  57.0625,   2.6875,  -0.1250,   0.3125, 14716, -1.4375, 0.1875, 39.4375 
 -0.1000,  -0.3900,   9.7400, -20.5625,  19.3750,  57.5000,   2.1875,  -2.1250,   0.0000, 14734, -1.4375, 0.1250, 39.9375 
 -0.1200,  -0.4100,   9.6800, -20.5625,  19.3750,  57.5000,   0.5000,  -3.8750,   0.0000, 14753, -1.4375, 0.1250, 39.9375 
 -0.0900,  -0.4100,   9.8600, -20.5625,  19.3750,  57.5000,   0.3750,  -3.5625,   0.0625, 14771, -1.4375, 0.0625, 39.9375 
 -0.1000,  -0.4400,   9.6900, -20.5625,  19.3750,  57.5000,  -6.1875,  -2.2500,   0.0000, 14788, -1.5000, 0.0000, 40.3750 
 -0.0400,  -0.4000,   9.8200, -20.5625,  19.3750,  57.5000,   0.0625,  -2.9375,  -0.8750, 14806, -1.5625, 0.0000, 40.3750 
 -0.0700,  -0.4000,   9.8800, -20.5625,  19.6875,  58.5625,   0.9375,  -1.0000,  -1.2500, 14823, -1.5625, 0.0000, 40.3750 
 -0.1300,  -0.3800,   9.9000, -20.5625,  19.6875,  58.5625,   2.8750,   0.4375,  -0.8125, 14842, -1.5625, 0.0000, 40.7500 
 -0.1200,  -0.4200,   9.9300, -20.5625,  19.6875,  58.5625,  -1.6250,   2.5000,   0.5625, 14863, -1.5000, 0.0000, 40.7500 
 -0.1100,  -0.4300,   9.8400, -20.5625,  19.0000,  57.7500,  -3.9375,   3.1250,   0.5000, 14880, -1.5625, 0.0000, 41.1250 
 -0.0900,  -0.3900,   9.6800, -20.5625,  19.0000,  57.7500,  -1.1250,   2.4375,   0.5000, 14899, -1.6250, 0.0625, 41.1250 
 -0.1300,  -0.3700,   9.6500, -20.5625,  19.0000,  57.7500,   3.3125,   0.4375,   0.3750, 14916, -1.6250, 0.0625, 41.1250 
 -0.1600,  -0.4200,   9.8200, -19.8750,  20.0625,  58.5625,   8.3125,   2.5000,   0.4375, 14934, -1.5625, 0.1250, 41.6250 
 -0.1800,  -0.4200,   9.8600, -19.8750,  20.0625,  58.5625,   5.1250,   4.5625,   0.3750, 14953, -1.3750, 0.1875, 41.6250 
 -0.1700,  -0.3400,   9.6900, -19.8750,  20.0625,  58.5625,   1.7500,   5.0000,   0.8125, 14970, -1.3750, 0.2500, 41.6250 
 -0.2000,  -0.4000,   9.7800, -19.8750,  20.0625,  57.7500,  -1.6250,   2.3750,   0.9375, 14988, -1.3750, 0.3125, 42.1250 
 -0.1700,  -0.3900,   9.6800, -19.8750,  20.0625,  57.7500,  -2.8125,  -0.7500,  -0.4375, 15005, -1.4375, 0.3125, 42.1250 
 -0.2000,  -0.4100,   9.6900, -19.8750,  20.0625,  57.7500,  -1.3750,  -1.3750,  -1.0000, 15023, -1.5000, 0.3125, 42.1250 
 -0.2000,  -0.4000,   9.7800, -21.3750,  19.3750,  57.5000,  -0.5625,   0.7500,  -0.4375, 15042, -1.5000, 0.3125, 42.2500 
 -0.2400,  -0.4500,   9.8500, -21.3750,  19.3750,  57.5000,   2.5000,   5.8125,   1.6875, 15063, -1.4375, 0.4375, 42.3125 
 -0.2600,  -0.4000,   9.7500, -20.1875,  19.6875,  57.7500,   1.1875,   6.0625,   1.3125, 15080, -1.4375, 0.5625, 42.6875 
 -0.2200,  -0.4000,   9.7900, -20.1875,  19.6875,  57.7500,   3.1875,   4.6875,   1.0625, 15097, -1.3750, 0.6875, 42.6875 
 -0.2000,  -0.3900,   9.7800, -20.1875,  19.6875,  57.7500,   1.1250,   2.0625,   0.1875, 15116, -1.3750, 0.6875, 42.6875 
 -0.2100,  -0.3700,   9.6400, -21.3750,  19.3750,  58.5625,  -2.2500,   0.2500,  -0.2500, 15133, -1.3750, 0.7500, 42.8125 
